table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,たわーほーむずまえ,,,タワーホームズ前
stops,stop_name,ja,プロムナード荻窪,,,プロムナード荻窪
stops,stop_name,en,Promenade Ogikubo,,,プロムナード荻窪
stops,stop_name,ja-Hrkt,ぷろむなーどおぎくぼ,,,プロムナード荻窪
stops,stop_name,ja,ポケット広場（ムーバス）,,,ポケット広場（ムーバス）
stops,stop_name,en,Poket Hiroba,,,ポケット広場（ムーバス）
stops,stop_name,ja-Hrkt,ぽけっとひろば（むーばす）,,,ポケット広場（ムーバス）
stops,stop_name,ja,リサイクルセンター入口,,,リサイクルセンター入口
stops,stop_name,en,Recycling Center Iriguchi,,,リサイクルセンター入口
stops,stop_name,ja-Hrkt,りさいくるせんたーいりぐち,,,リサイクルセンター入口
stops,stop_name,ja,ヴィーガーデン西東京,,,ヴィーガーデン西東京
stops,stop_name,en,Vi: GARDEN NISHI TOKYO,,,ヴィーガーデン西東京
stops,stop_name,ja-Hrkt,うぃーがーでんにしとうきょう,,,ヴィーガーデン西東京
stops,stop_name,ja,ヴィーナスフォート,,,ヴィーナスフォート
stops,stop_name,en,Venus Fort,,,ヴィーナスフォート
stops,stop_name,ja-Hrkt,ヴぃーなすふぉーと,,,ヴィーナスフォート
stops,stop_name,ja,一番街,,,一番街
stops,stop_name,en,Ichibangai,,,一番街
stops,stop_name,ja-Hrkt,いちばんがい,,,一番街
stops,stop_name,ja,三ツ塚,,,三ツ塚
stops,stop_name,en,Mitsuzuka,,,三ツ塚
stops,stop_name,ja-Hrkt,みつづか,,,三ツ塚
stops,stop_name,ja,三谷公園（ムーバス）,,,三谷公園（ムーバス）
stops,stop_name,en,Sanya Koen,,,三谷公園（ムーバス）
stops,stop_name,ja-Hrkt,さんやこうえん（むーばす）,,,三谷公園（ムーバス）
stops,stop_name,ja,三谷通り・西久保保育園前（ムーバス）,,,三谷通り・西久保保育園前（ムーバス）
stops,stop_name,en,Sanya Tori・Nisikubo Hoikuen,,,三谷通り・西久保保育園前（ムーバス）
stops,stop_name,ja-Hrkt,さんやどおり・にしくぼほいくえんまえ（むーばす）,,,三谷通り・西久保保育園前（ムーバス）
stops,stop_name,ja,三鷹駅,,,三鷹駅
stops,stop_name,en,Mitaka　Station,,,三鷹駅
stops,stop_name,ja-Hrkt,みたかえき,,,三鷹駅
stops,stop_name,ja,三鷹駅（ムーバス降車場）,,,三鷹駅（ムーバス降車場）
stops,stop_name,en,Mitaka Station,,,三鷹駅（ムーバス降車場）
stops,stop_name,ja-Hrkt,みたかえき（むーばすこうしゃじょう）,,,三鷹駅（ムーバス降車場）
stops,stop_name,ja,上の根橋,,,上の根橋
stops,stop_name,en,Kaminone-bashi,,,上の根橋
stops,stop_name,ja-Hrkt,かみのねばし,,,上の根橋
stops,stop_name,ja,上北沢五丁目,,,上北沢五丁目
stops,stop_name,en,Kami-Kitazawa 5-chome,,,上北沢五丁目
stops,stop_name,ja-Hrkt,かみきたざわごちょうめ、上北沢５丁目、上北沢5丁目,,,上北沢五丁目
stops,stop_name,ja,上十条五丁目,,,上十条五丁目
stops,stop_name,en,Kami-Jujo 5-chome,,,上十条五丁目
stops,stop_name,ja-Hrkt,かみじゅうじょうごちょうめ,,,上十条五丁目
stops,stop_name,ja,上向台,,,上向台
stops,stop_name,en,Kamimukodai,,,上向台
stops,stop_name,ja-Hrkt,かみむこうだい,,,上向台
stops,stop_name,ja,上宿,,,上宿
stops,stop_name,en,Kamijuku,,,上宿
stops,stop_name,ja-Hrkt,かみじゅく,,,上宿
stops,stop_name,ja,上水北公園前,,,上水北公園前
stops,stop_name,en,Josui Kita Koen Mae,,,上水北公園前
stops,stop_name,ja-Hrkt,じょうすいきたこうえんまえ,,,上水北公園前
stops,stop_name,ja,上石神井中学校入口,,,上石神井中学校入口
stops,stop_name,en,Kamishyakujii Chyugaku,,,上石神井中学校入口
stops,stop_name,ja-Hrkt,かみしゃくじいちゅうがく,,,上石神井中学校入口
stops,stop_name,ja,上石神井北小学校,,,上石神井北小学校
stops,stop_name,en,Kamishyakujii　Kita shyougakkou,,,上石神井北小学校
stops,stop_name,ja-Hrkt,かみしゃくじいきたしょうがっこう,,,上石神井北小学校
stops,stop_name,ja,上石神井駅,,,上石神井駅
stops,stop_name,en,Kami-Shakujii Station,,,上石神井駅
stops,stop_name,ja-Hrkt,かみしゃくじいえき,,,上石神井駅
stops,stop_name,ja,上荻一丁目,,,上荻一丁目
stops,stop_name,en,Kami-Ogi 1-chome,,,上荻一丁目
stops,stop_name,ja-Hrkt,かみおぎいっちょうめ、上荻１丁目、上荻1丁目,,,上荻一丁目
stops,stop_name,ja,上荻二丁目,,,上荻二丁目
stops,stop_name,en,Kami-Ogi 2-chome,,,上荻二丁目
stops,stop_name,ja-Hrkt,"かみおぎにちょうめ,上荻２丁目、上荻2丁目",,,上荻二丁目
stops,stop_name,ja,上落合一丁目,,,上落合一丁目
stops,stop_name,en,Kami-Ochiai 1-chome,,,上落合一丁目
stops,stop_name,ja-Hrkt,かみおちあいいっちょうめ、上落合1丁目、上落合1丁目,,,上落合一丁目
stops,stop_name,ja,上高井戸一丁目,,,上高井戸一丁目
stops,stop_name,en,Kami-Takaido 1-chome,,,上高井戸一丁目
stops,stop_name,ja-Hrkt,かみたかいどいっちょうめ、上高井戸１丁目、上高井戸1丁目,,,上高井戸一丁目
stops,stop_name,ja,上高田中通り,,,上高田中通り
stops,stop_name,en,Kami-Takadanaka-dori,,,上高田中通り
stops,stop_name,ja-Hrkt,かみたかだなかどおり,,,上高田中通り
stops,stop_name,ja,下井草一丁目,,,下井草一丁目
stops,stop_name,en,Shimo-Igusa 1-chome,,,下井草一丁目
stops,stop_name,ja-Hrkt,しもいぐさいっちょうめ、下井草１丁目、下井草1丁目,,,下井草一丁目
stops,stop_name,ja,下井草二丁目,,,下井草二丁目
stops,stop_name,en,Shimo-Igusa 2-chome,,,下井草二丁目
stops,stop_name,ja-Hrkt,しもいぐさにちょうめ、下井草２丁目、下井草2丁目,,,下井草二丁目
stops,stop_name,ja,下井草五丁目,,,下井草五丁目
stops,stop_name,en,Shimo-Igusa 5-chome,,,下井草五丁目
stops,stop_name,ja-Hrkt,しもいぐさごちょうめ、下井草５丁目、下井草5丁目,,,下井草五丁目
stops,stop_name,ja,下井草郵便局,,,下井草郵便局
stops,stop_name,en,Shimo-Igusa Yubinkyoku,,,下井草郵便局
stops,stop_name,ja-Hrkt,しもいぐさゆうびんきょく,,,下井草郵便局
stops,stop_name,ja,下井草駅,,,下井草駅
stops,stop_name,en,Shimo-Igusa Station,,,下井草駅
stops,stop_name,ja-Hrkt,しもいぐさえき,,,下井草駅
stops,stop_name,ja,下新街,,,下新街
stops,stop_name,en,Shimo-Shingai,,,下新街
stops,stop_name,ja-Hrkt,しもしんがい,,,下新街
stops,stop_name,ja,下田橋,,,下田橋
stops,stop_name,en,Shimoda-bashi,,,下田橋
stops,stop_name,ja-Hrkt,しもだばし,,,下田橋
stops,stop_name,ja,下石神井一丁目,,,下石神井一丁目
stops,stop_name,en,Shimo-Shakujii 1-chome,,,下石神井一丁目
stops,stop_name,ja-Hrkt,しもしゃくじいいっちょうめ、下石神井１丁目、下石神井1丁目,,,下石神井一丁目
stops,stop_name,ja,下石神井坂下,,,下石神井坂下
stops,stop_name,en,Shimo-Shakujii Sakashita,,,下石神井坂下
stops,stop_name,ja-Hrkt,しもしゃくじいさかした,,,下石神井坂下
stops,stop_name,ja,下落合駅,,,下落合駅
stops,stop_name,en,Shimo-Ochiai Station,,,下落合駅
stops,stop_name,ja-Hrkt,しもおちあいえき,,,下落合駅
stops,stop_name,ja,世尊院前,,,世尊院前
stops,stop_name,en,Sesonin Mae,,,世尊院前
stops,stop_name,ja-Hrkt,せそんいんまえ,,,世尊院前
stops,stop_name,ja,中の橋,,,中の橋
stops,stop_name,en,Nakano-hashi,,,中の橋
stops,stop_name,ja-Hrkt,なかのはし,,,中の橋
stops,stop_name,ja,中十条四丁目,,,中十条四丁目
stops,stop_name,en,Nakajujo 4-chome,,,中十条四丁目
stops,stop_name,ja-Hrkt,なかじゅうじょうよんちょうめ、中十条4丁目、中十条4丁目,,,中十条四丁目
stops,stop_name,ja,中央五丁目,,,中央五丁目
stops,stop_name,en,Chuo 5-chome,,,中央五丁目
stops,stop_name,ja-Hrkt,ちゅうおうごちょうめ、中央５丁目、中央5丁目,,,中央五丁目
stops,stop_name,ja,中宿,,,中宿
stops,stop_name,en,Nakajuku,,,中宿
stops,stop_name,ja-Hrkt,なかじゅく,,,中宿
stops,stop_name,ja,中新井橋,,,中新井橋
stops,stop_name,en,Nakaarai-bashi,,,中新井橋
stops,stop_name,ja-Hrkt,なかあらいばし,,,中新井橋
stops,stop_name,ja,中村三丁目,,,中村三丁目
stops,stop_name,en,Nakamura 3-chome,,,中村三丁目
stops,stop_name,ja-Hrkt,なかむらさんちょうめ、中村３丁目、中村3丁目,,,中村三丁目
stops,stop_name,ja,中村中学,,,中村中学
stops,stop_name,en,Nakamura Chugaku,,,中村中学
stops,stop_name,ja-Hrkt,なかむらちゅうがく,,,中村中学
stops,stop_name,ja,中村八幡,,,中村八幡
stops,stop_name,en,Nakamura Hachiman,,,中村八幡
stops,stop_name,ja-Hrkt,なかむらはちまん,,,中村八幡
stops,stop_name,ja,中村公園,,,中村公園
stops,stop_name,en,Nakamura Koen,,,中村公園
stops,stop_name,ja-Hrkt,なかむらこうえん,,,中村公園
stops,stop_name,ja,中村北三丁目,,,中村北三丁目
stops,stop_name,en,Nakamura Kita 3-chome,,,中村北三丁目
stops,stop_name,ja-Hrkt,なかむらきたさんちょうめ、中村北3丁目、中村北3丁目,,,中村北三丁目
stops,stop_name,ja,中村北二丁目,,,中村北二丁目
stops,stop_name,en,Nakamura Kita 2-chome,,,中村北二丁目
stops,stop_name,ja-Hrkt,"なかむらきたにちょうめ,中村北2丁目、中村北2丁目",,,中村北二丁目
