route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
10000,7000020141305,た８３,向丘遊園駅南口→たまプラーザ駅（東急）,,3,,000000,000000,向丘遊園駅南口→たまプラーザ駅（東急）
10001,7000020141305,原０１,中原駅→高田町　原０１,,3,,000000,000000,溝２５　高田町→溝口駅南口
10002,7000020141305,城１１,井田病院→宮前平駅　城１１,,3,,000000,000000,城１１　宮前平駅・宮前区役所前～新城駅
10003,7000020141305,宮０４,鷲ヶ峰営業所→市場→宮前区役所　宮０４,,3,,000000,000000,宮０４　宮前区役所～部市場～鷲ヶ峰営業所
10004,7000020141305,宮０５,宮前平駅→聖マリアンナ　宮０５,,3,,000000,000000,宮０５　聖マリアンナ医科大学前～宮前平駅・宮前区役所
10005,7000020141305,川０４,川崎駅—遠→市営埠頭　朝　川０４,,3,,000000,000000,川０４　川崎駅～塩浜営業所前・市営埠頭・京セラ
10006,7000020141305,川０５,西公園→東扇島（ショート）→川崎駅　川０,,3,,000000,000000,川０４　川崎駅～塩浜営業所前・市営埠頭・京セラ
10007,7000020141305,川０７,川崎駅→西公園　区間急行　川０７,,3,,000000,000000,川０４　川崎駅～塩浜営業所前・市営埠頭・京セラ
10008,7000020141305,川１０,塩浜営業所ー臨警→川崎駅　川１０,,3,,000000,000000,川１０　川崎駅～水江町
10009,7000020141305,川１３,浜町二丁目→川崎駅　川１３,,3,,000000,000000,川１３　川崎駅～扇町
10010,7000020141305,川１５,川崎駅ー労働会館→川崎駅　右　ｗ,,3,,000000,000000,川１５　川崎駅～小田栄循環
10011,7000020141305,川１７,川崎駅１５番→市役所前→ＪＦＥ前→川崎駅　川１７,,3,,000000,000000,川４０　川崎駅～ＪＦＥ
